model,img_size,param_count_m,gmacs,ms_batch1_cpu
crossvit_9_dagger_240,240,8.78,1.99,12.864
resnest26d,224,17.07,3.64,12.869
vit_srelpos_small_patch16_224,224,21.97,4.59,12.928
resnet50,160,25.56,2.1,12.938
seresnext26d_32x4d,288,16.81,4.51,12.973
resnext50_32x4d,224,25.03,4.26,12.987
ecaresnet50d_pruned,224,19.94,2.53,13.036
vit_small_patch16_224,224,22.05,4.61,13.058
deit3_small_patch16_224,224,22.06,4.61,13.06
deit_small_patch16_224,224,22.05,4.61,13.072
tf_efficientnetv2_b1,240,8.14,1.21,13.073
deit_small_distilled_patch16_224,224,22.44,4.63,13.119
convnextv2_pico,224,9.07,1.37,13.14
resnet26t,320,16.01,5.24,13.179
coat_lite_mini,224,11.01,2.0,13.208
nf_regnet_b0,192,8.76,0.37,13.258
resnetaa34d,224,21.82,4.43,13.287
xcit_nano_12_p8_224,224,3.05,2.16,13.293
resnet50d,160,25.58,2.22,13.293
tf_efficientnet_cc_b0_8e,224,24.01,0.42,13.333
resnext50d_32x4d,224,25.05,4.5,13.358
resnet50,176,25.56,2.62,13.362
fbnetv3_b,224,8.6,0.42,13.368
resnet33ts,288,19.68,6.02,13.421
tiny_vit_5m_224,224,12.08,1.28,13.448
mixer_b32_224,224,60.29,3.24,13.472
vit_little_patch16_reg1_gap_256,256,22.52,6.27,13.481
gernet_l,256,31.08,4.57,13.498
dpn48b,224,9.13,1.69,13.557
hgnet_tiny,288,14.74,7.51,13.563
efficientnet_b1_pruned,240,6.33,0.4,13.583
vit_little_patch16_reg4_gap_256,256,22.52,6.35,13.589
efficientnet_b1,240,7.79,0.71,13.625
cspresnext50,256,20.57,4.05,13.66
vovnet39a,224,22.6,7.09,13.665
gmlp_s16_224,224,19.42,4.42,13.668
mobilevitv2_150,256,10.59,4.09,13.705
regnetz_b16,224,9.72,1.45,13.743
edgenext_base,256,18.51,3.85,13.756
resnet32ts,256,17.96,4.63,13.77
coat_lite_tiny,224,5.72,1.6,13.777
regnetz_005,288,7.12,0.86,13.799
repvgg_b0,224,15.82,3.41,13.843
hgnetv2_b4,224,19.8,2.75,13.92
dla60,224,22.04,4.26,13.933
efficientnet_b1,224,7.79,0.59,13.974
levit_conv_384,224,39.13,2.36,14.105
efficientnet_b1,256,7.79,0.77,14.119
regnetx_040,224,22.12,3.99,14.151
tf_efficientnet_lite3,300,8.2,1.65,14.156
eca_vovnet39b,224,22.6,7.09,14.174
efficientnet_b2_pruned,260,8.31,0.73,14.199
tf_efficientnetv2_b2,260,10.1,1.72,14.221
hgnetv2_b3,288,16.29,2.94,14.259
fbnetv3_d,224,10.31,0.52,14.271
convnext_nano_ols,224,15.65,2.65,14.274
fbnetv3_b,256,8.6,0.55,14.307
repvit_m0_9,224,5.49,0.83,14.313
efficientformerv2_s1,224,6.19,0.67,14.36
darknet21,256,20.86,3.93,14.374
ese_vovnet39b,224,24.57,7.09,14.394
eca_resnet33ts,288,19.68,6.02,14.395
nf_regnet_b0,256,8.76,0.64,14.407
ecaresnet50t,160,25.57,2.21,14.419
repvit_m1,224,5.49,0.83,14.442
rexnetr_200,288,16.52,2.62,14.46
res2net50_48w_2s,224,25.29,4.18,14.478
resnet34,288,21.8,6.07,14.507
flexivit_small,240,22.06,5.35,14.517
legacy_seresnet34,224,21.96,3.67,14.524
convnext_tiny,224,28.59,4.47,14.544
ecaresnet26t,320,16.01,5.24,14.579
regnetz_b16_evos,224,9.74,1.43,14.6
repvit_m1_1,224,8.8,1.36,14.61
efficientnet_b2,256,9.11,0.89,14.655
efficientvit_b2,224,24.33,1.6,14.655
repvit_m2,224,8.8,1.36,14.76
seresnet34,224,21.96,3.67,14.839
resnet50,224,25.56,4.11,14.865
vit_relpos_small_patch16_rpn_224,224,21.97,4.59,14.869
convnextv2_femto,288,5.23,1.3,14.941
resnet34d,288,21.82,6.47,14.958
gcresnet33ts,256,19.88,4.76,15.047
tf_efficientnet_b1,240,7.79,0.71,15.114
fbnetv3_d,256,10.31,0.68,15.125
xcit_tiny_12_p16_384,384,6.72,3.64,15.233
vit_relpos_small_patch16_224,224,21.98,4.59,15.25
resnet50c,224,25.58,4.35,15.257
dpn68,224,12.61,2.35,15.261
ecaresnet50d_pruned,288,19.94,4.19,15.265
efficientnet_b1,288,7.79,0.97,15.322
repvit_m1_0,224,7.3,1.13,15.356
twins_pcpvt_small,224,24.11,3.83,15.355
mobilenetv4_hybrid_medium,320,11.07,2.05,15.36
sedarknet21,256,20.95,3.93,15.373
resnet50d,224,25.58,4.35,15.41
resnetaa34d,288,21.82,7.33,15.435
hiera_tiny_224,224,27.91,4.91,15.483
poolformerv2_s24,224,21.34,3.42,15.529
dpn68b,224,12.61,2.35,15.545
ghostnetv2_100,224,6.16,0.18,15.585
resnet50t,224,25.57,4.32,15.678
resnetv2_50,224,25.55,4.11,15.68
ghostnetv2_130,224,8.96,0.28,15.697
resnetaa50,224,25.56,5.15,15.694
seresnet50,160,28.09,2.1,15.713
regnetz_b16,288,9.72,2.39,15.72
convmixer_1024_20_ks9_p14,224,24.38,5.55,15.734
efficientnet_b2,288,9.11,1.12,15.739
resnext50_32x4d,288,25.03,7.04,15.767
coatnet_pico_rw_224,224,10.85,2.05,15.781
regnetx_064,224,26.21,6.49,15.805
regnety_016,224,11.2,1.63,15.864
poolformer_s24,224,21.39,3.41,15.889
rexnetr_300,224,34.81,3.39,15.891
nf_resnet26,224,16.0,2.41,15.919
sam2_hiera_tiny,224,26.85,4.91,15.931
hgnet_small,224,24.36,8.53,15.958
mobilevitv2_175,256,14.25,5.54,15.963
efficientvit_b2,288,24.33,2.64,16.05
seresnext50_32x4d,224,27.56,4.26,16.053
resnext50d_32x4d,288,25.05,7.44,16.068
convnext_nano,224,15.59,2.46,16.076
regnety_032,224,19.44,3.2,16.135
resnet50_clip_gap,224,23.53,5.39,16.138
resnetaa50d,224,25.58,5.39,16.139
resnetv2_50d,224,25.57,4.35,16.157
resnetblur50,224,25.56,5.16,16.216
tiny_vit_11m_224,224,20.35,2.04,16.233
resnet50s,224,25.68,5.47,16.265
visformer_small,224,40.22,4.88,16.271
gcresnet33ts,288,19.88,6.02,16.29
convnextv2_tiny,224,28.64,4.47,16.298
regnetz_c16,256,13.46,2.51,16.36
cs3darknet_l,256,21.16,4.86,16.366
tf_efficientnetv2_b3,240,14.36,1.93,16.372
resnet51q,256,35.7,6.38,16.378
legacy_seresnext50_32x4d,224,27.56,4.26,16.415
vit_base_patch32_224,224,88.22,4.41,16.492
resnetv2_50t,224,25.57,4.32,16.501
mobilevit_s,256,5.58,2.03,16.509
xcit_tiny_12_p8_224,224,6.71,4.81,16.576
efficientvit_b2,256,24.33,2.09,16.612
resnetrs50,160,35.69,2.29,16.615
tf_efficientnet_b2,260,9.11,1.02,16.636
hgnetv2_b4,288,19.8,4.54,16.662
twins_svt_small,224,24.06,2.94,16.668
efficientnet_el_pruned,300,10.59,8.0,16.716
seresnet34,288,21.96,6.07,16.747
vit_base_patch32_clip_quickgelu_224,224,87.85,4.41,16.77
efficientnet_cc_b1_8e,240,39.72,0.75,16.79
hrnet_w18_small,224,13.19,1.61,16.799
efficientformer_l3,224,31.41,3.93,16.82
tf_mixnet_s,224,4.13,0.25,16.826
efficientnet_el,300,10.59,8.0,16.834
ecaresnetlight,224,30.16,4.11,16.843
rexnet_300,224,34.71,3.44,16.85
volo_d1_224,224,26.63,6.94,16.853
resnetblur50d,224,25.58,5.4,16.88
vit_base_patch32_clip_224,224,88.22,4.41,16.887
tf_efficientnet_el,300,10.59,8.0,16.916
seresnet33ts,256,19.78,4.76,16.928
efficientnet_lite4,380,13.01,4.04,16.933
ecaresnet50t,224,25.57,4.32,16.963
resmlp_24_224,224,30.02,5.96,17.039
ghostnetv2_160,224,12.39,0.42,17.053
nf_ecaresnet26,224,16.0,2.41,17.063
ecaresnet50d,224,25.58,4.35,17.08
mobilenetv4_conv_large,256,32.59,2.86,17.144
mixnet_s,224,4.13,0.25,17.15
mobilenetv4_hybrid_medium,384,11.07,3.01,17.259
maxvit_pico_rw_256,256,7.46,1.83,17.368
eva02_tiny_patch14_336,336,5.76,4.68,17.391
resnetv2_50d_frn,224,25.59,4.33,17.421
cs3darknet_focus_l,256,21.15,4.66,17.438
repvgg_a2,224,28.21,5.7,17.514
regnety_040,224,20.65,4.0,17.552
edgenext_base,320,18.51,6.01,17.588
convit_small,224,27.78,5.76,17.601
crossvit_15_240,240,27.53,5.81,17.694
gcresnext50ts,256,15.67,3.75,17.737
nf_seresnet26,224,17.4,2.41,17.774
nf_regnet_b1,256,10.22,0.82,17.796
legacy_seresnet50,224,28.09,3.88,17.851
dpn68b,288,12.61,3.89,17.857
inception_next_tiny,224,28.06,4.19,17.858
resnet50,288,25.56,6.8,17.869
efficientnet_b3_pruned,300,9.86,1.04,17.904
cait_xxs24_224,224,11.96,2.53,17.936
hiera_small_224,224,35.01,6.42,17.938
lambda_resnet50ts,256,21.54,5.07,17.981
tf_efficientnet_lite4,380,13.01,4.04,18.002
resnet50d,288,25.58,7.19,18.027
haloregnetz_b,224,11.68,1.97,18.043
resnet50_mlp,256,26.65,7.05,18.042
fbnetv3_g,240,16.62,1.28,18.115
vit_base_patch32_clip_256,256,87.86,5.76,18.186
seresnet33ts,288,19.78,6.02,18.24
resnet50t,288,25.57,7.14,18.272
resnet51q,288,35.7,8.07,18.301
sehalonet33ts,256,13.69,3.55,18.322
caformer_s18,224,26.34,4.13,18.388
ecaresnet50t,256,25.57,5.64,18.402
regnetv_040,224,20.64,4.0,18.43
seresnet50,224,28.09,4.11,18.45
